Кукуруза_preds,Пшеница 1-го класса_preds,Пшеница 3-го класса_preds,Пшеница 4-го класса_preds,Пшеница 5-го класса_preds,"Пшеница 12,5% FOB Ново, $ т_preds",Подсолнечник_preds,Соя_preds,"Рапс, руб. т_preds",Кукуруза_true,Пшеница 1-го класса_true,Пшеница 3-го класса_true,Пшеница 4-го класса_true,Пшеница 5-го класса_true,"Пшеница 12,5% FOB Ново, $ т_true",Подсолнечник_true,Соя_true,"Рапс, руб. т_true"
11.454388828249984,15.058139124442015,15.962741887479732,15.058139124442018,14.443146827745654,235.58653453610881,35.62231666360181,515.1427110873348,40.35743632310215,11.35294,14.924772727272725,15.821363636363634,14.924772727272726,14.315227272727272,233.5,35.30681818181818,510.58021323564327,40.0
11.507342254246769,15.127752620869588,16.03653734561537,15.127752620869591,14.509917226251549,236.6756466929818,35.78699796939333,517.5242062363444,40.54400799879773,12.07999,13.563636363636364,14.830227272727273,13.563636363636364,12.403181818181816,218.75,35.67272727272727,505.30476388599953,32.881818181818176
11.049679046562964,14.526100594142116,15.398741670508297,14.52610059414212,13.932837383289371,227.26272290459144,34.363698659945754,496.94153970509296,38.93151570100067,12.97882,12.983636363636364,14.319636363636365,12.983636363636364,12.784363636363636,219.0,35.53409090909091,451.3778904022806,34.04545454545455
11.231175354253699,14.764698802458495,15.651673429385948,14.764698802458499,14.161690957231775,230.99562273897672,34.9281389843294,505.1040441737343,39.57098462337931,13.445667156717985,13.412045454545456,14.725681818181815,13.412045454545456,13.279772727272729,216.25,34.88636363636363,417.82833814597234,34.98863636363636
10.290621509547353,13.528230330855127,14.340925341518052,13.52823033085513,12.975721327408246,211.65091355008548,32.003084893912565,462.8041480596203,36.257115811577805,13.31627,14.348181818181816,15.303863636363635,14.348181818181816,14.084090909090907,230.5,39.66363636363636,435.6750314507052,39.32727272727272
10.249506586270234,13.474179936366099,14.283627923223891,13.474179936366102,12.923878415262784,210.80528813629775,31.87522047106662,460.9550705260476,36.1122549269889,13.73288,15.52290909090909,16.22563636363636,15.52290909090909,15.332363636363636,227.4,42.93181818181818,432.18296009642825,40.954545454545446
10.336481750819374,13.588519003058344,14.404835795868731,13.588519003058348,13.03354773859258,212.59413762570082,32.14570691079678,464.86663863630844,36.41869595301085,14.084090909090907,15.901363636363635,16.480454545454545,15.901363636363634,15.492727272727272,235.0,40.34848484848485,389.2728454131963,40.18181818181818
10.200114513605778,13.409248257078978,14.214795537746822,13.40924825707898,12.861598622921527,209.78942361423114,31.72161471527234,458.7337415140764,35.938231025992486,9.88611,10.0363636363636,13.019090909090908,10.0363636363636,9.18340909090909,240.0,26.193181818181817,453.6259424998467,31.943181818181817
10.112031064406006,13.293452220075268,14.092043168745068,13.293452220075272,12.750531833679226,207.97777963583022,31.447681590837277,454.7723300845303,35.62788516245485,10.02863,9.886590909090907,12.859090909090908,9.886590909090907,9.172727272727272,222.25,26.21590909090909,445.31660894503375,32.86363636363636
9.65596325882948,12.693897536754855,13.45647083286867,12.693897536754859,12.175463676126913,198.59766905635755,30.029343865977356,434.26141419655994,34.02101397111049,10.22543,9.813272727272729,12.473999999999998,9.813272727272729,9.199272727272728,204.0,26.125,444.9280678967668,36.11363636363636
9.957384271013417,13.090150851056682,13.876528671754707,13.090150851056684,12.555533534171486,204.79710341828928,30.96674130429359,447.8173393291316,35.08301557486754,10.65453,9.975681818181815,12.296363636363637,9.975681818181815,9.50681818181818,210.75,27.125,448.4776715372043,38.704545454545446
10.000415889629164,13.14672096663262,13.936497180879307,13.146720966632621,12.609793259000273,205.68215019443508,31.100566510322643,449.7526171522067,35.23462958362913,10.397290000000002,11.48581818181818,13.165090909090909,11.48581818181818,10.626727272727273,234.8,29.745454545454542,464.7998639414948,39.64545454545454
