"Минтай б г, Владивосток руб. кг_preds","Минтай б г, Китай C&F $ т_preds","Сельдь н р, Владивосток руб. кг_preds","Минтай б г, Владивосток руб. кг_true","Минтай б г, Китай C&F $ т_true","Сельдь н р, Владивосток руб. кг_true"
94.43716571538859,1169.021627964309,89.43909844911454,81.59090909090908,1010.0,77.27272727272727
90.99216805292045,1126.3765872623358,86.17642656822551,85.81818181818181,1010.0,77.27272727272727
89.9683835772312,1113.703333195586,85.20682567202954,86.36363636363636,1060.0,77.27272727272727
88.21875795837454,1092.0450149499065,83.54979862353021,86.90909090909089,1250.0,77.63636363636364
87.90449378347978,1088.1547921275323,83.25216681443767,91.8181818181818,1345.0,88.18181818181817
80.45460013999286,995.9338245741736,76.19655723564784,108.86363636363636,1325.0,108.18181818181816
74.99207507125172,928.3141549210102,71.02313516497378,125.45454545454544,1175.0,126.13636363636364
73.17514130048583,905.8226404996074,69.30236223444341,97.04545454545452,1000.0,83.4090909090909
79.65182755546002,985.9964391544967,75.43627122244123,83.18181818181817,900.0,83.18181818181817
75.7836777837064,938.1132703921762,71.7728424692484,80.45454545454545,950.0,77.95454545454545
74.90869610217968,927.2820208303245,70.94416901042086,80.68181818181817,1050.0,77.27272727272727
78.49570616892373,971.6850089545878,74.34133731875785,80.68181818181817,1030.0,77.04545454545453
