Сахар (средняя цена по России)_preds,"Мука пшеничная, руб. т_preds",Сахар (средняя цена по России)_true,"Мука пшеничная, руб. т_true"
49.906821329993136,19.7196515847815,56.47727272727272,22.31583
51.14366252976575,20.20836388653174,54.97727272727272,23.55791
52.76670997474309,20.849677624164798,51.05454545454545,23.42313
55.060280535623434,21.75593474774744,49.27272727272727,23.10293
55.0640430425625,21.75742142479772,52.88636363636363,23.2484
54.89634446038887,21.69115878727449,53.72727272727272,23.6281
55.13182369177862,21.784203550990334,53.636363636363626,24.98700935531264
53.93595682229556,21.311681411139745,52.16219370788769,21.35402
54.87996818570121,21.68468803993993,53.02272727272727,21.57677
55.44726076194928,21.9088420063141,54.7090909090909,21.60039
53.07663477509058,20.97213801970721,54.77272727272727,21.12105
54.32203326545495,21.464231558420302,55.49090909090908,21.23372
