"Огурцы тепличные, руб. кг_preds","Томаты тепличные, руб. кг_preds","Огурцы тепличные, руб. кг_true","Томаты тепличные, руб. кг_true"
83.58232912150805,151.5646708784919,76.19307,138.1653
67.17097912397823,121.80502087602177,75.52639,121.13157
55.08244930760017,99.88419069239984,77.64839,126.00909
52.42276630429687,95.06123369570314,86.83714361897785,122.9966344280666
58.857070470446295,106.72892952955371,80.95795,119.31839
61.84602548829794,112.14897451170205,122.51508,162.83444
83.42039451251381,151.27102548748624,169.19259114625848,168.90906785833596
114.89011339697161,208.33688660302835,189.07463,194.98483
136.51283745039768,247.54662254960232,199.51996,229.44821
152.4755100749362,276.4926599250638,133.83385,245.10928
134.69425257389804,244.2488774261018,124.89474,217.98934
121.8771663048455,221.00691369515454,84.59434,174.74701000000002
