Подсолнечное масло наливом (мировые цены)_preds,Бутилированное подсолнечное масло (рафинированное)_preds,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _preds",Подсолнечный шрот _preds,Соевое масло_preds,Соевый шрот_preds,"Рапсовое масло EU, $ т_preds",Кокосовое масло (USD) _preds,Кокосовое масло _preds,Пальмовое масло (USD)_preds,Пальмовое масло _preds,Подсолнечное масло наливом (мировые цены)_true,Бутилированное подсолнечное масло (рафинированное)_true,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _true",Подсолнечный шрот _true,Соевое масло_true,Соевый шрот_true,"Рапсовое масло EU, $ т_true",Кокосовое масло (USD) _true,Кокосовое масло _true,Пальмовое масло (USD)_true,Пальмовое масло _true
974.6384747306266,88.54268541884272,80.53978885213964,13.98682530654794,855.0712981804161,563.7392516759737,1133.1760989661507,1496.1563513424248,131730.58211029516,894.5517722801253,78761.70534217592,910.625,82.72727272727272,75.25,13.0681818181818,798.9108998808473,526.7133089521385,1058.75,1397.89,123078.62294000002,835.798328049517,73588.69959144777
1131.7433709536147,102.81514619757054,93.52223875279013,16.24140358890192,992.9028029350567,654.6100708849702,1315.8361498939078,1737.3262768124625,152964.6293682301,1038.7472529572058,91457.54063387014,908.75,86.18181818181817,74.0,15.163636363636362,796.1306428125649,536.0931974204284,1096.25,1474.35,128858.19,860.9192364056178,75244.341261851
1111.172961122588,100.94639242493844,91.82239157114593,15.946202100093279,974.8559399244616,642.7119694396973,1291.919695361472,1705.7488764569994,150184.36557653296,1019.867127610257,89795.22111757268,903.5,86.36363636363636,74.27272727272727,15.55681818181818,759.959945640512,494.4209999284743,1058.0,1618.64,144010.4008,888.4264760088711,79043.30357050926
1049.948749383095,95.38437506094628,86.76309500736076,15.067586719792322,921.142622043562,607.2993603489138,1220.7365692896108,1611.7642907619872,141909.39874442996,963.6737507448973,84847.61905808524,927.5,86.81818181818181,77.93181818181817,14.18181818181818,775.415712436523,466.99193468087225,1043.75,1735.75,158473.975,943.7612935019828,86165.40609673104
1125.8268790267173,102.27765245291697,93.03332617351872,16.156497296820657,987.7121373049066,651.1879212183075,1308.9572636041587,1728.2439378697684,152164.96575368167,1033.3169231722566,90979.4218176245,1018.75,100.29545454545452,88.29545454545453,14.272727272727272,827.6501357346223,467.7405624237379,1108.75,1728.38,166114.6018,1031.28054740958,99116.37341153476
1353.3798452038793,122.95008764065939,111.83729125775365,19.422060547631613,1187.349249155726,782.806508207515,1573.5246793242086,2077.5578880571597,182920.6618118807,1242.1717082633536,109368.25022575526,1121.5,105.52727272727272,95.52727272727272,14.170454545454543,821.3175519525832,450.1953036495953,1213.0,1878.67391304348,188449.7802173915,1133.0926563461107,113660.52435807836
1462.7622177358555,132.88711480772483,120.87616404625739,20.991783245725735,1283.3127573732945,846.0742104750266,1700.699517395017,2245.469514400302,197704.60886488904,1342.5660572877218,118207.57107995477,1103.75,101.0,93.0,12.24242424242424,841.4554905782976,427.81617343020855,1151.6666666666667,1878.67391304348,192751.94347826103,1140.4889352724665,117014.16475895504
1317.0986247198878,119.65405862557913,108.83917255749795,18.90139662354613,1155.518954022558,761.8211391544522,1531.3418464485176,2021.8630023441967,178016.94990439716,1208.8717401973374,106436.32123741478,789.375,77.72727272727272,62.22727272727273,12.21590909090909,685.036473977809,565.4999080487954,940.0,1130.57,100598.1186,814.8789577940327,72507.92966451302
1040.4243159869256,94.51911175372581,85.97603819136984,14.930903642415462,912.7866317562442,601.790346396968,1209.6628629250872,1597.1434422237076,140622.09151402855,954.9319464806422,84077.93815983464,776.875,74.09090909090908,61.79545454545453,10.988636363636362,649.7405007392999,525.3247462067459,930.0,1171.58,107328.4438,825.4740048343602,75621.67358287574
930.6466806831776,84.54617626971401,76.90450264533602,13.355508614034479,816.4763510069689,538.2940207527366,1082.028467451821,1428.6250525300834,125784.72137506375,854.1748136937077,75206.6756464762,786.0,73.63636363636363,62.89090909090909,10.409090909090908,654.3788853746319,502.4340911569617,992.0,1287.86,118083.8834,898.9206039528372,82422.03017643564
896.4565536885375,81.44011618958697,74.07918261091278,12.864853518959467,786.4806171710558,518.5181581058284,1042.2768716186565,1376.1401804647026,121163.63832919522,822.7941125511728,72443.73043368057,814.375,75.0,67.13636363636363,10.488636363636362,685.5616124644007,470.9871891484552,1033.75,1425.23,132389.6147,891.2158902615517,82785.04404639555
939.5172562047067,85.35203874923896,77.63752755459622,13.48280831890449,824.258697716499,543.424837702913,1092.3419574542027,1442.242171339462,126983.65421775429,862.3164880269744,75923.517504823,836.5,76.54545454545455,68.67272727272727,10.518181818181818,715.3075822603719,495.4130276018688,1080.0,1401.74,127376.1138,827.9378006425153,75234.70794438537
