"Минтай б г, Владивосток руб. кг_preds","Минтай б г, Китай C&F $ т_preds","Сельдь н р, Владивосток руб. кг_preds","Минтай б г, Владивосток руб. кг_true","Минтай б г, Китай C&F $ т_true","Сельдь н р, Владивосток руб. кг_true"
95.29780107118233,1179.6752867975886,90.25418485850138,81.59090909090908,1010.0,77.27272727272727
97.43950294310007,1206.1870503597122,92.28253760627861,85.81818181818181,1010.0,77.27272727272727
90.35126296996799,1118.4429321407738,85.56944125289448,86.36363636363636,1060.0,77.27272727272727
90.33222561999538,1118.2072720202216,85.55141145069202,86.90909090909089,1250.0,77.63636363636364
90.5225991197214,1120.5638732257437,85.73170947271666,91.8181818181818,1345.0,88.18181818181817
97.95351139236033,1212.5498736146221,92.76934226574517,108.86363636363636,1325.0,108.18181818181816
95.34539444611387,1180.2644370989694,90.29925936400757,125.45454545454544,1175.0,126.13636363636364
89.1899846216393,1104.0676647870894,84.4696233185442,97.04545454545452,1000.0,83.4090909090909
82.39999646474466,1020.0155551234687,78.03899386633199,83.18181818181817,900.0,83.18181818181817
74.4360383928729,921.4310713591287,70.49652661163451,80.45454545454545,950.0,77.95454545454545
77.37096318031571,957.7620066109276,73.27612111784775,80.68181818181817,1050.0,77.27272727272727
84.31959592031534,1043.777950612483,79.85699892174712,80.68181818181817,1030.0,77.04545454545453
