Подсолнечное масло наливом (мировые цены)_preds,Бутилированное подсолнечное масло (рафинированное)_preds,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _preds",Подсолнечный шрот _preds,Соевое масло_preds,Соевый шрот_preds,"Рапсовое масло EU, $ т_preds",Кокосовое масло (USD) _preds,Кокосовое масло _preds,Пальмовое масло (USD)_preds,Пальмовое масло _preds,Подсолнечное масло наливом (мировые цены)_true,Бутилированное подсолнечное масло (рафинированное)_true,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _true",Подсолнечный шрот _true,Соевое масло_true,Соевый шрот_true,"Рапсовое масло EU, $ т_true",Кокосовое масло (USD) _true,Кокосовое масло _true,Пальмовое масло (USD)_true,Пальмовое масло _true
688.9081404679157,62.585028546907424,56.92830481286003,9.886371267712013,604.3939299233645,398.47037609325525,800.9680095762865,1057.5349902305502,93111.72574983904,632.3000927745073,55671.493968424285,910.625,82.72727272727272,75.25,13.0681818181818,798.9108998808473,526.7133089521385,1058.75,1397.89,123078.62294000002,835.798328049517,73588.69959144777
688.117322988346,62.51318539159117,56.86295517350506,9.875022417627715,603.7001287381954,398.0129604815146,800.0485553481526,1056.32101538194,93004.8401203183,631.5742573019289,55607.58705840565,908.75,86.18181818181817,74.0,15.163636363636362,796.1306428125649,536.0931974204284,1096.25,1474.35,128858.19,860.9192364056178,75244.341261851
793.4613364952829,72.08334098316166,65.56811593276052,11.386791501460962,696.1206977187167,458.9448412584947,922.5281427748864,1218.0334030730446,107242.9690069693,728.2620819927992,64120.563271137995,903.5,86.36363636363636,74.27272727272727,15.55681818181818,759.959945640512,494.4209999284743,1058.0,1618.64,144010.4008,888.4264760088711,79043.30357050926
847.6443329758052,77.00568720364213,70.04555778331294,12.16435992914675,743.6566059976403,490.28475106241837,985.5247083466124,1301.2090999297718,114566.25641241671,777.9928250177911,68499.15627151645,927.5,86.81818181818181,77.93181818181817,14.18181818181818,775.415712436523,466.99193468087225,1043.75,1735.75,158473.975,943.7612935019828,86165.40609673104
832.9970363240809,75.67502869456928,68.8351703317909,11.954159752576176,730.8062175843518,481.8126290729789,968.4948383891511,1278.7242027256768,112586.55115318496,764.5491066354093,67315.49064282126,1018.75,100.29545454545452,88.29545454545453,14.272727272727272,827.6501357346223,467.7405624237379,1108.75,1728.38,166114.6018,1031.28054740958,99116.37341153476
814.7867333969473,74.02068283683504,67.3303518881211,11.692827645928597,714.8299271260191,471.27963369972275,947.3223928444947,1250.7697754270514,110125.27564725018,747.8351566123224,65843.89419908854,1121.5,105.52727272727272,95.52727272727272,14.170454545454543,821.3175519525832,450.1953036495953,1213.0,1878.67391304348,188449.7802173915,1133.0926563461107,113660.52435807836
802.4817421807821,72.90281503807442,66.31352214040231,11.516241386508995,704.0344936539177,464.1623212603615,933.0158347661257,1231.880524449794,108462.15265570658,736.5412748441579,64849.51308492874,1103.75,101.0,93.0,12.24242424242424,841.4554905782976,427.81617343020855,1151.6666666666667,1878.67391304348,192751.94347826103,1140.4889352724665,117014.16475895504
795.6318212118407,72.28052234881388,65.74747513651724,11.41793965674943,698.0249106472907,460.2002682312751,925.0516850603008,1221.365289283536,107536.32826025823,730.2542165126683,64295.96274707441,789.375,77.72727272727272,62.22727272727273,12.21590909090909,685.036473977809,565.4999080487954,940.0,1130.57,100598.1186,814.8789577940327,72507.92966451302
801.8025526005143,72.84111290861351,66.25739693418114,11.50649448419031,703.4386260259024,463.76947218282834,932.2261661669675,1230.8379083099333,108370.35447505642,735.9178947309208,64794.626959478665,776.875,74.09090909090908,61.79545454545453,10.988636363636362,649.7405007392999,525.3247462067459,930.0,1171.58,107328.4438,825.4740048343602,75621.67358287574
845.8670922838718,76.84423075842749,69.89869451680039,12.138855133542789,742.0973945104778,489.25677980569617,983.4583763410288,1298.4808781141542,114326.04739443884,776.3616213951589,68355.53531735817,786.0,73.63636363636363,62.89090909090909,10.409090909090908,654.3788853746319,502.4340911569617,992.0,1287.86,118083.8834,898.9206039528372,82422.03017643564
925.9577955845915,84.12020654964529,76.5170340345812,13.288219441221424,812.3626912528996,535.5819294027597,1076.5768742074797,1421.4271987588136,125150.97914191852,849.8712174539662,74827.7612119519,814.375,75.0,67.13636363636363,10.488636363636362,685.5616124644007,470.9871891484552,1033.75,1425.23,132389.6147,891.2158902615517,82785.04404639555
992.8886491025783,90.2006534656114,82.04790209468113,14.248729599650135,871.0825687149152,574.2953090348252,1154.3949015646997,1524.1719848389876,134197.2465771335,911.3023174844512,80236.52384523599,836.5,76.54545454545455,68.67272727272727,10.518181818181818,715.3075822603719,495.4130276018688,1080.0,1401.74,127376.1138,827.9378006425153,75234.70794438537
