Сахар (средняя цена по России)_preds,"Мука пшеничная, руб. т_preds",Сахар (средняя цена по России)_true,"Мука пшеничная, руб. т_true"
53.01851720822829,20.94917406129556,56.47727272727272,22.31583
53.45317621783161,21.120920608143106,54.97727272727272,23.55791
54.73366287194417,21.626878511394438,51.05454545454545,23.42313
52.96929665577316,20.929725574708772,49.27272727272727,23.10293
53.49274780186136,21.136556503776788,52.88636363636363,23.2484
52.85900995145077,20.88614805713275,53.72727272727272,23.6281
52.264478424872706,20.651231181085546,53.636363636363626,24.98700935531264
52.37095628686372,20.69330371313626,52.16219370788769,21.35402
52.694907393457754,20.821306314429954,53.02272727272727,21.57677
53.471382734759935,21.12811453796735,54.7090909090909,21.60039
54.697063775959165,21.612417133131736,54.77272727272727,21.12105
54.39909597380406,21.494681298923226,55.49090909090908,21.23372
