"Огурцы тепличные, руб. кг_preds","Томаты тепличные, руб. кг_preds","Огурцы тепличные, руб. кг_true","Томаты тепличные, руб. кг_true"
100.3441951458755,181.95993186241782,76.19307,138.1653
78.38076261417837,142.13236952936452,75.52639,121.13157
61.77826771530171,112.02610542356378,77.64839,126.00909
58.9613944237327,106.91810618699778,86.83714361897785,122.9966344280666
60.81093292235842,110.27198130351653,80.95795,119.31839
83.29175741174345,151.0377603937045,122.51508,162.83444
100.09912268933981,181.5155278046867,169.19259114625848,168.90906785833596
133.7617966649444,242.55800120340393,189.07463,194.98483
142.30814091680026,258.05558146183085,199.51996,229.44821
147.91253479342376,268.21835297480243,133.83385,245.10928
138.5598051700305,251.2585074897076,124.89474,217.98934
125.70947292718668,227.95625691190318,84.59434,174.74701000000002
