Молоко сырое_preds,Мясо птицы бройлеров в живом весе _preds,Мясо крупного рогатого скота в живом весе _preds,Свинина в живом весе_preds,Баранина в живом весе_preds,Баранина в убойном весе _preds,Яйцо товарное_preds,Молоко сырое_true,Мясо птицы бройлеров в живом весе _true,Мясо крупного рогатого скота в живом весе _true,Свинина в живом весе_true,Баранина в живом весе_true,Баранина в убойном весе _true,Яйцо товарное_true
40.42661451023228,141.02286177497277,207.0034784314416,143.2041201383562,163.41374969799267,285.97406197148723,92.39543643353318,34.13133,119.0626,174.76863,120.90419,137.96675,241.4418125,78.0075
40.19566535125348,140.217226385557,205.8209089823643,142.3860236563992,162.48019964648464,284.3403493813482,91.86759979432111,34.03058,118.61289,175.78517000000002,110.98908,171.5506,300.21355,75.2968
40.300776116654156,140.5838912947942,206.3591260535223,142.75835992196662,162.90508173260153,285.0838930320527,92.10783151198325,34.6299,117.17197,177.60604999999998,117.16619,206.92195,362.1134125,73.30199999999999
39.823055735705516,138.91742735598092,203.91297067365662,141.06612010285946,160.97402518226357,281.7045440689613,91.01599674853128,35.859431184927416,114.2376877379459,176.85854721064644,127.24043386501842,222.8224002157051,389.9392003774839,73.89800502202598
40.477157712443,141.19917500588218,207.26228364665533,143.38316047822263,163.6180570409414,286.3315998216475,92.51095343349928,37.77673,113.23143,188.54737,122.2589,194.04576,339.58008,76.4297
39.331966640695185,137.2043284382541,201.39836112451522,139.32652398251906,158.98892918984205,278.23062608222364,89.89360765384852,40.04026,115.85916,194.72225,125.43791,192.83818,337.466815,80.3965
40.81518699401768,142.37834514488387,208.99315421163746,144.58056932473016,164.98444977699046,288.72278710973336,93.28352277616588,40.57898166225634,142.0684378506784,179.47336394140078,127.97310842105264,200.0,350.0,83.0
41.90352703587342,146.1748744646453,214.56597244313534,148.43582111846732,169.383772583037,296.42160202031477,95.77093495187253,33.78862,122.24555,151.65117,113.1215,98.81229,172.9215075,97.4726
38.839430503394354,135.48618170617556,198.87634203116144,137.58180197121493,156.99798391695205,274.7464718546661,88.76791132937203,34.298010000000005,117.15675,148.81029999999998,115.86196,145.65446,254.895305,95.7542
36.749928553405,128.19723237807136,188.1770990429167,130.1801114784365,148.5517325356348,259.96553193736094,83.99233348450647,34.5099,113.32584,160.52646,119.74733,163.17996,285.56493,92.3531
38.221278576225586,133.32984101732094,195.71111039667358,135.39210827772925,154.49927049448326,270.3737233653457,87.35511884637714,34.62168,114.7935,165.43448,114.46821,176.09082,308.158935,91.8575
39.198990032394725,136.74045724649466,200.7174576948886,138.85547790504378,158.45140690538267,277.2899620844197,89.58968827033789,34.34781,116.32176,168.20827,118.86151,187.80719,328.66258250000004,85.0877
