model,lags,horizon_months,mean_mape,std_mape,n_valid_folds
rf,24,12,15.428883340547427,12.985271367958694,3
rf,6,12,15.82102168911368,14.456717317390686,3
rf,12,12,16.146389378176917,13.949457837116418,3
rf,24,24,18.687647045083793,9.232654142700527,3
rf,12,24,19.304795450874433,10.039178870244157,3
rf,6,24,19.774463228378398,9.582111079469664,3
rf,6,36,20.434513430327943,10.046899132838938,2
rf,12,36,20.952451079255557,10.408852822984981,2
rf,24,36,23.30038014351721,11.981422056122797,2
