Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
"Моноаммонийфосфат, MAP (FOB Балтика)",407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Апатитовый концетрат (FOB Morocco),407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Аммиак (FOB Черное море),407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Аммиачная селитра (FOB Черное море),407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Хлорид калия (CFR Ю-В Азия),407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
Метанол,407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
"Бензол, CFR Япония",407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
"Этилен, CFR Китай",407.48966994154296,273.4347282270392,187.93226875943873,583.8537395876277,628.4462974287596,530.8654283603156,227.12615552259717,263.87364516385975,317.45553807494264,89.43752708964682
