Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
"Моноаммонийфосфат, MAP (FOB Балтика)",154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Апатитовый концетрат (FOB Morocco),154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Аммиак (FOB Черное море),154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Аммиачная селитра (FOB Черное море),154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Хлорид калия (CFR Ю-В Азия),154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
Метанол,154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
"Бензол, CFR Япония",154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
"Этилен, CFR Китай",154.12913345268157,108.90945540546508,52.6110355663085,236.05704999632576,226.43220030978728,166.11562595506103,67.26615221673492,80.39570539328791,96.00041135430428,42.975903915402775
