model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,27.85340704385152
rf,6,12,2,2023-05-01,12.725687386707055
rf,6,12,3,2024-05-01,18.087421342600322
rf,12,12,1,2022-05-01,32.30689607517911
rf,12,12,2,2023-05-01,15.540629161283203
rf,12,12,3,2024-05-01,19.093804819449353
rf,24,12,1,2022-05-01,31.214646985550615
rf,24,12,2,2023-05-01,11.925936906621939
rf,24,12,3,2024-05-01,20.58936801218183
rf,6,24,1,2019-05-01,32.16830304210759
rf,6,24,2,2021-05-01,34.648607436476034
rf,6,24,3,2023-05-01,15.336712638324293
rf,12,24,1,2019-05-01,32.62147324957583
rf,12,24,2,2021-05-01,35.89070766269246
rf,12,24,3,2023-05-01,21.354270496626395
rf,24,24,1,2019-05-01,32.330471180741185
rf,24,24,2,2021-05-01,33.13293284386923
rf,24,24,3,2023-05-01,17.600384797353232
rf,6,36,2,2019-05-01,34.085407334705096
rf,6,36,3,2022-05-01,22.771042548345555
rf,12,36,2,2019-05-01,33.97696582482024
rf,12,36,3,2022-05-01,23.007419814562034
rf,24,36,2,2019-05-01,34.9729004208392
rf,24,36,3,2022-05-01,21.17428792425064
