model,lags,horizon_months,fold_index,cutoff,mape
rf,6,12,1,2022-05-01,38.455100070521844
rf,6,12,2,2023-05-01,10.014182987556854
rf,6,12,3,2024-05-01,9.930298400499915
rf,12,12,1,2022-05-01,44.635869723445595
rf,12,12,2,2023-05-01,8.750225186356813
rf,12,12,3,2024-05-01,8.530075336529343
rf,24,12,1,2022-05-01,48.79147128648253
rf,24,12,2,2023-05-01,11.26549197182073
rf,24,12,3,2024-05-01,10.318965899634227
rf,6,24,1,2019-05-01,43.050111040044456
rf,6,24,2,2021-05-01,26.75581408981367
rf,6,24,3,2023-05-01,15.378140066510964
rf,12,24,1,2019-05-01,42.13595151935009
rf,12,24,2,2021-05-01,33.82203962445192
rf,12,24,3,2023-05-01,19.2165199794205
rf,24,24,1,2019-05-01,40.1678719756234
rf,24,24,2,2021-05-01,35.20261051196999
rf,24,24,3,2023-05-01,22.075398128540325
rf,6,36,2,2019-05-01,38.021255732131486
rf,6,36,3,2022-05-01,23.243081780739875
rf,12,36,2,2019-05-01,37.496578637873824
rf,12,36,3,2022-05-01,22.3395470275302
rf,24,36,2,2019-05-01,36.956602452050724
rf,24,36,3,2022-05-01,23.25559341613924
