model,lags,horizon_months,mean_mape,std_mape,n_valid_folds
rf,6,12,19.466527152859538,16.444640015610567,3
rf,12,12,20.638723415443916,20.782429831105496,3
rf,24,12,23.45864305264583,21.94397679649561,3
rf,6,24,28.394688398789697,13.908591810118171,3
rf,12,24,31.724837041074167,11.60274879221189,3
rf,24,24,32.48196020537791,9.348040224823379,3
rf,12,36,29.918062832702013,10.717639834332832,2
rf,24,36,30.106097934094983,9.688076398391171,2
rf,6,36,30.632168756435682,10.449747014583405,2
