Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
"Моноаммонийфосфат, MAP (FOB Балтика)",436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Апатитовый концетрат (FOB Morocco),436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Аммиак (FOB Черное море),436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Аммиачная селитра (FOB Черное море),436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Хлорид калия (CFR Ю-В Азия),436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
Метанол,436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
"Бензол, CFR Япония",436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
"Этилен, CFR Китай",436.1422992487409,74.85619429384506,44.890785809108074,43.2966429678162,408.35673199198675,79.7319615972052,13.418747396237048,18.28865211227496,25.652379814397662,20.723139442390767
