Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
"Моноаммонийфосфат, MAP (FOB Балтика)",36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Апатитовый концетрат (FOB Morocco),36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Аммиак (FOB Черное море),36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Аммиачная селитра (FOB Черное море),36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Хлорид калия (CFR Ю-В Азия),36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
Метанол,36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
"Бензол, CFR Япония",36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
"Этилен, CFR Китай",36.284615050231146,41.27034496110935,49.668897994892845,54.18669266609374,37.84062362549687,37.433663629852944,19.437532063961672,24.059035104833804,30.145157900466522,12.219432197933722
