model,lags,horizon_months,mean_mape,std_mape,n_valid_folds
rf,24,12,13.837133562915197,1.6232290629146375,3
rf,6,12,14.578580192981269,3.6341748126407967,3
rf,12,12,14.739108206162664,1.3509238780809159,3
rf,12,24,18.65388618786068,5.740470834371565,3
rf,24,24,18.75034851283846,5.876121075178697,3
rf,6,24,19.232543634417734,5.867419827568369,3
rf,24,36,23.129143374158318,9.739555799741611,2
rf,12,36,23.22082684105799,8.723306825475744,2
rf,6,36,23.463973746343466,8.978352712877294,2
