Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),85.12631245649632,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
"Моноаммонийфосфат, MAP (FOB Балтика)",180.23764943374348,67.35668516610455,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
Апатитовый концетрат (FOB Morocco),180.23764943374348,119.09727583565711,42.20815599877155,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
Аммиак (FOB Черное море),180.23764943374348,119.09727583565711,82.21013518186857,125.57078544493017,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
Аммиачная селитра (FOB Черное море),180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,113.03173767940768,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
Хлорид калия (CFR Ю-В Азия),180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,72.77125692150048,59.89016547837639,50.18984971314935,48.432814619628004,62.04277612438827
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,30.349856702389104,50.18984971314935,48.432814619628004,62.04277612438827
Метанол,180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,26.32656004470621,48.432814619628004,62.04277612438827
"Бензол, CFR Япония",180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,30.825896240263297,62.04277612438827
"Этилен, CFR Китай",180.23764943374348,119.09727583565711,82.21013518186857,240.6791232334082,243.39204956475226,156.14921650491738,59.89016547837639,50.18984971314935,48.432814619628004,39.703027088403
