Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),17.359407675574943,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
"Моноаммонийфосфат, MAP (FOB Балтика)",57.84149989478386,10.51613303609597,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
Апатитовый концетрат (FOB Morocco),57.84149989478386,40.127595924429585,15.320495199855555,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
Аммиак (FOB Черное море),57.84149989478386,40.127595924429585,25.75523672451279,23.75697029526289,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
Аммиачная селитра (FOB Черное море),57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,25.184677501424506,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
Хлорид калия (CFR Ю-В Азия),57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,15.050488292684468,30.63323038258112,29.6245007325726,27.304147157811904,35.40254451351039
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,7.999419096597358,29.6245007325726,27.304147157811904,35.40254451351039
Метанол,57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,12.348897913359076,27.304147157811904,35.40254451351039
"Бензол, CFR Япония",57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,11.643187444027689,35.40254451351039
"Этилен, CFR Китай",57.84149989478386,40.127595924429585,25.75523672451279,63.881757618562844,71.78874223637897,35.07587410055688,30.63323038258112,29.6245007325726,27.304147157811904,12.60033794794788
