Conditioning Variable,Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай"
Карбамид (FOB Южный),26.422132037526904,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
"Моноаммонийфосфат, MAP (FOB Балтика)",34.95873012596924,22.08646552047344,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
Апатитовый концетрат (FOB Morocco),34.95873012596924,39.288172837842595,30.06718355730191,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
Аммиак (FOB Черное море),34.95873012596924,39.288172837842595,49.66421553923427,39.15907060114023,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
Аммиачная селитра (FOB Черное море),34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,27.940358294419127,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
Хлорид калия (CFR Ю-В Азия),34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,28.850961937459402,10.143787402581893,23.16851744029544,29.519009160775234,14.78446968875242
Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,11.639917149368863,23.16851744029544,29.519009160775234,14.78446968875242
Метанол,34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,19.829993310087836,29.519009160775234,14.78446968875242
"Бензол, CFR Япония",34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,21.532607569546933,14.78446968875242
"Этилен, CFR Китай",34.95873012596924,39.288172837842595,49.66421553923427,52.36727259098521,37.954913732511244,33.56299593727728,10.143787402581893,23.16851744029544,29.519009160775234,7.492978969651913
