Сахар (средняя цена по России)_preds,"Мука пшеничная, руб. т_preds",Сахар (средняя цена по России)_true,"Мука пшеничная, руб. т_true"
51.600541548153934,20.38889021176972,56.47727272727272,22.31583
52.80478025788442,20.86472031170278,54.97727272727272,23.55791
55.70892296412236,22.01223243115486,51.05454545454545,23.42313
58.069316368583806,22.944893223779264,49.27272727272727,23.10293
59.21191830093068,23.396368821814143,52.88636363636363,23.2484
56.51229213858867,22.32966719843202,53.72727272727272,23.6281
59.334163251508535,23.444671393870465,53.636363636363626,24.98700935531264
59.30069364461531,23.431446568705788,52.16219370788769,21.35402
58.7533777427724,23.215185973389804,53.02272727272727,21.57677
56.558116737890195,22.347773844140093,54.7090909090909,21.60039
57.19640112107305,22.599978759479164,54.77272727272727,21.12105
55.18528950303932,21.805329464075186,55.49090909090908,21.23372
