"Минтай б г, Владивосток руб. кг_preds","Минтай б г, Китай C&F $ т_preds","Сельдь н р, Владивосток руб. кг_preds","Минтай б г, Владивосток руб. кг_true","Минтай б г, Китай C&F $ т_true","Сельдь н р, Владивосток руб. кг_true"
98.89324967999777,1224.1827342003066,93.65934510083355,81.59090909090908,1010.0,77.27272727272727
93.87072955751206,1162.0098110127678,88.90264080655739,85.81818181818181,1010.0,77.27272727272727
95.3916434760385,1180.8369459819362,90.3430606736855,86.36363636363636,1060.0,77.27272727272727
93.41257445337712,1156.338386826763,88.46873346559393,86.90909090909089,1250.0,77.63636363636364
96.99798573263423,1200.721583832386,91.86438760193772,91.8181818181818,1345.0,88.18181818181817
87.5246304833971,1083.4525288808265,82.89240770015324,108.86363636363636,1325.0,108.18181818181816
80.9611397096675,1002.2041918377784,76.67628830442048,125.45454545454544,1175.0,126.13636363636364
90.62273040518271,1121.803381394518,85.82654133081371,97.04545454545452,1000.0,83.4090909090909
82.55571879996212,1021.9432154513416,78.18647462949059,83.18181818181817,900.0,83.18181818181817
80.93095013958776,1001.8304802794653,76.6476965110302,80.45454545454545,950.0,77.95454545454545
76.51321493146911,947.1440867839798,72.46376901587604,80.68181818181817,1050.0,77.27272727272727
77.00450509044128,953.2256841836243,72.92905774582184,80.68181818181817,1030.0,77.04545454545453
