Молоко сырое_preds,Мясо птицы бройлеров в живом весе _preds,Мясо крупного рогатого скота в живом весе _preds,Свинина в живом весе_preds,Баранина в живом весе_preds,Баранина в убойном весе _preds,Яйцо товарное_preds,Молоко сырое_true,Мясо птицы бройлеров в живом весе _true,Мясо крупного рогатого скота в живом весе _true,Свинина в живом весе_true,Баранина в живом весе_true,Баранина в убойном весе _true,Яйцо товарное_true
32.15044748087099,112.15255509339808,164.62557011750712,113.88726459860332,129.959563544153,227.42923620226784,73.48017296319959,34.13133,119.0626,174.76863,120.90419,137.96675,241.4418125,78.0075
30.97119161971584,108.0388780437674,158.58721968482385,109.70995962116132,125.19273791555823,219.0872913522269,70.78497176274652,34.03058,118.61289,175.78517000000002,110.98908,171.5506,300.21355,75.2968
31.38925363927546,109.49723173259287,160.72789590264097,111.19087026380608,126.88264153598782,222.04462268797872,71.7404567377181,34.6299,117.17197,177.60604999999998,117.16619,206.92195,362.1134125,73.30199999999999
31.71205663565312,110.62328700311747,162.38080065135188,112.33434269241093,128.18748609670337,224.32810066923093,72.47822625153226,35.859431184927416,114.2376877379459,176.85854721064644,127.24043386501842,222.8224002157051,389.9392003774839,73.89800502202598
31.817776132578377,110.99207539122345,162.9221347172062,112.70883528156452,128.61482881679112,225.07595042938448,72.71984923125198,37.77673,113.23143,188.54737,122.2589,194.04576,339.58008,76.4297
32.7683082020244,114.30787994884322,167.78931063880512,116.07592674636814,132.45709984438489,231.7999247276736,74.89229989190045,40.04026,115.85916,194.72225,125.43791,192.83818,337.466815,80.3965
33.739664619021276,117.69632747006003,172.7631171163216,119.51678477323992,136.3835477133869,238.67120849842712,77.11234480954309,40.57898166225634,142.0684378506784,179.47336394140078,127.97310842105264,200.0,350.0,83.0
37.18502485460078,129.7150078902109,190.40499887799652,131.72136304607454,150.31049267223082,263.04336217640395,84.98675048248253,33.78862,122.24555,151.65117,113.1215,98.81229,172.9215075,97.4726
29.752525526882224,103.78772364853546,152.34707013682836,105.3930508797055,120.26660699234333,210.46656223660085,67.99969807910401,34.298010000000005,117.15675,148.81029999999998,115.86196,145.65446,254.895305,95.7542
34.36287505591424,119.87031409652936,175.95425072457783,121.72439734128487,138.9027088050936,243.07974040891384,78.53669856768634,34.5099,113.32584,160.52646,119.74733,163.17996,285.56493,92.3531
36.50112442533119,127.3293123064187,186.90310366676803,129.29876693155182,147.5460085589563,258.20551497817354,83.42368913280035,34.62168,114.7935,165.43448,114.46821,176.09082,308.158935,91.8575
37.86510817412886,132.0873879949312,193.88734867332457,134.13043772555682,153.0595471428448,267.85420749997843,86.5410877892352,34.34781,116.32176,168.20827,118.86151,187.80719,328.66258250000004,85.0877
