"Огурцы тепличные, руб. кг_preds","Томаты тепличные, руб. кг_preds","Огурцы тепличные, руб. кг_true","Томаты тепличные, руб. кг_true"
98.69875675815523,178.9761632799091,76.19307,138.1653
78.74703214259918,142.7965472462503,75.52639,121.13157
62.415713590830954,113.18202289251812,77.64839,126.00909
50.27014567445728,91.15776222371788,86.83714361897785,122.9966344280666
57.27351759923692,103.85738153291169,80.95795,119.31839
77.64194906941843,140.79263620380328,122.51508,162.83444
85.67588156085722,155.36103058480654,169.19259114625848,168.90906785833596
119.70459094337664,217.06725715434376,189.07463,194.98483
139.25226797648702,252.5141903410864,199.51996,229.44821
147.9435416417025,268.2745794858813,133.83385,245.10928
134.75901027011116,244.36630630151782,124.89474,217.98934
120.11182133914096,217.8057115807095,84.59434,174.74701000000002
