Молоко сырое_preds,Мясо птицы бройлеров в живом весе _preds,Мясо крупного рогатого скота в живом весе _preds,Свинина в живом весе_preds,Баранина в живом весе_preds,Баранина в убойном весе _preds,Яйцо товарное_preds,Молоко сырое_true,Мясо птицы бройлеров в живом весе _true,Мясо крупного рогатого скота в живом весе _true,Свинина в живом весе_true,Баранина в живом весе_true,Баранина в убойном весе _true,Яйцо товарное_true
36.724906441546686,128.10994607263464,188.04897393882072,130.09147507996275,148.45058735754688,259.7885278757071,83.93514519472149,34.13133,119.0626,174.76863,120.90419,137.96675,241.4418125,78.0075
36.126549073111434,126.02265606620776,184.98509985211408,127.97190010409174,146.03188813130623,255.555804229786,82.56759337596104,34.03058,118.61289,175.78517000000002,110.98908,171.5506,300.21355,75.2968
36.74279414495121,128.17234494415158,188.14056748111327,130.15483910038284,148.52289360238663,259.91506380417667,83.97602772181106,34.6299,117.17197,177.60604999999998,117.16619,206.92195,362.1134125,73.30199999999999
36.81341835968949,128.41870811340684,188.50219702366655,130.4050128696827,148.80837305421997,260.414652844885,84.13744007905575,35.859431184927416,114.2376877379459,176.85854721064644,127.24043386501842,222.8224002157051,389.9392003774839,73.89800502202598
36.62465912785134,127.76024666708602,187.53566005167607,129.7363667304782,148.04536447092693,259.07938782412214,83.70602894513232,37.77673,113.23143,188.54737,122.2589,194.04576,339.58008,76.4297
37.32323027677028,130.19711910291775,191.1126763195476,132.21093127037204,150.86915103477057,264.02101431084856,85.30262037298746,40.04026,115.85916,194.72225,125.43791,192.83818,337.466815,80.3965
37.15556941143558,129.6122564988235,190.2541730107354,131.61702235683157,150.19142694102982,262.8349971468022,84.91942976914643,40.57898166225634,142.0684378506784,179.47336394140078,127.97310842105264,200.0,350.0,83.0
36.662371575872605,127.89180152046494,187.72876570781736,129.86995639665673,148.19780693033414,259.34616212808476,83.79222112659784,33.78862,122.24555,151.65117,113.1215,98.81229,172.9215075,97.4726
37.473273405058315,130.7205245771875,191.8809684421169,132.74243247148934,151.47566015028798,265.08240526300403,85.64554546058083,34.298010000000005,117.15675,148.81029999999998,115.86196,145.65446,254.895305,95.7542
36.28145966212745,126.56304102910778,185.778315686798,128.52064342254445,146.65807265171978,256.6516271405096,82.92164309428925,34.5099,113.32584,160.52646,119.74733,163.17996,285.56493,92.3531
35.587425660108615,124.1419958261002,182.22453176726572,126.06215092176741,143.85262628768905,251.74209600345586,81.33542136157375,34.62168,114.7935,165.43448,114.46821,176.09082,308.158935,91.8575
35.07411963473318,122.35139610505605,179.59616097639378,124.24385526144194,141.77772431122148,248.1110175446376,80.16225524778696,34.34781,116.32176,168.20827,118.86151,187.80719,328.66258250000004,85.0877
