Подсолнечное масло наливом (мировые цены)_preds,Бутилированное подсолнечное масло (рафинированное)_preds,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _preds",Подсолнечный шрот _preds,Соевое масло_preds,Соевый шрот_preds,"Рапсовое масло EU, $ т_preds",Кокосовое масло (USD) _preds,Кокосовое масло _preds,Пальмовое масло (USD)_preds,Пальмовое масло _preds,Подсолнечное масло наливом (мировые цены)_true,Бутилированное подсолнечное масло (рафинированное)_true,"Подсолнечное масло (наливом) не бутилированное, нерафинированное _true",Подсолнечный шрот _true,Соевое масло_true,Соевый шрот_true,"Рапсовое масло EU, $ т_true",Кокосовое масло (USD) _true,Кокосовое масло _true,Пальмовое масло (USD)_true,Пальмовое масло _true
923.7773191374537,83.92211746828055,76.33684915864751,13.256927896775071,810.4497123641672,534.3207231273288,1074.0417149065522,1418.0799743572327,124856.26942225694,847.8699122307743,74651.55429227075,910.625,82.72727272727272,75.25,13.0681818181818,798.9108998808473,526.7133089521385,1058.75,1397.89,123078.62294000002,835.798328049517,73588.69959144777
921.05028918267,83.67437580644958,76.11149953163587,13.21779288151331,808.057230326909,532.7433856161737,1070.8710980613885,1413.893741930611,124487.6884020226,845.3669641712007,74431.17972741755,908.75,86.18181818181817,74.0,15.163636363636362,796.1306428125649,536.0931974204284,1096.25,1474.35,128858.19,860.9192364056178,75244.341261851
909.0896513676729,82.58779137651037,75.12312561747963,13.046148363047639,797.5639055006324,525.8252501370081,1056.9649069436089,1395.5331039125394,122871.10766708347,834.3891400524027,73464.62622505386,903.5,86.36363636363636,74.27272727272727,15.55681818181818,759.959945640512,494.4209999284743,1058.0,1618.64,144010.4008,888.4264760088711,79043.30357050926
899.237086738431,81.69271843084516,74.30895349574955,12.904756345531844,788.9200386244958,520.1264422660043,1045.5096945332205,1380.4085448793799,121539.4507424499,825.3461673203559,72668.42864788807,927.5,86.81818181818181,77.93181818181817,14.18181818181818,775.415712436523,466.99193468087225,1043.75,1735.75,158473.975,943.7612935019828,86165.40609673104
924.6685076359928,84.00307899906441,76.41049301261053,13.269717149577469,811.2315712032408,534.8361941971608,1075.0778668053342,1419.4480276066197,124976.72103865247,848.6878711678296,74723.57230484273,1018.75,100.29545454545452,88.29545454545453,14.272727272727272,827.6501357346223,467.7405624237379,1108.75,1728.38,166114.6018,1031.28054740958,99116.37341153476
890.366920617941,80.88689314405204,73.57596241757041,12.777462515887326,781.1380510913035,514.9958621168996,1035.1966805262814,1366.792054536844,120340.573233751,817.2048687473681,71951.61987373077,1121.5,105.52727272727272,95.52727272727272,14.170454545454543,821.3175519525832,450.1953036495953,1213.0,1878.67391304348,188449.7802173915,1133.0926563461107,113660.52435807836
877.0907031918553,79.68079265285712,72.47887485538736,12.586938399833185,769.4905399743366,507.31678410909,1019.7609136630082,1346.411885336843,118546.18085636769,805.019567083627,70878.75280344502,1103.75,101.0,93.0,12.24242424242424,841.4554905782976,427.81617343020855,1151.6666666666667,1878.67391304348,192751.94347826103,1140.4889352724665,117014.16475895504
875.4420007639334,79.53101348426324,72.34263341933945,12.56327822897014,768.0440978710266,506.3631604865361,1017.8440283418691,1343.8809811370159,118323.3448651897,803.5063396489438,70745.51918073092,789.375,77.72727272727272,62.22727272727273,12.21590909090909,685.036473977809,565.4999080487954,940.0,1130.57,100598.1186,814.8789577940327,72507.92966451302
881.0231498227457,80.03804243725699,72.803834755428,12.643372088302943,772.9405599898404,509.59134496260714,1024.3330238845103,1352.4485390865814,119077.68407241716,808.6288819160137,71196.53853717734,776.875,74.09090909090908,61.79545454545453,10.988636363636362,649.7405007392999,525.3247462067459,930.0,1171.58,107328.4438,825.4740048343602,75621.67358287574
890.808844906652,80.92704050565203,73.61248107533349,12.783804475480732,781.525760775502,515.2514749151571,1035.710489548297,1367.4704474471487,120400.30301593167,817.6104798184776,71987.33230609768,786.0,73.63636363636363,62.89090909090909,10.409090909090908,654.3788853746319,502.4340911569617,992.0,1287.86,118083.8834,898.9206039528372,82422.03017643564
899.0707608155162,81.6776082702559,74.29520906121355,12.902369438295905,788.7741173146818,520.030237925883,1045.3163135356792,1380.153219861526,121516.97039592793,825.1935085109849,72654.98765035818,814.375,75.0,67.13636363636363,10.488636363636362,685.5616124644007,470.9871891484552,1033.75,1425.23,132389.6147,891.2158902615517,82785.04404639555
839.6709571282439,76.28133235032901,69.38667346481851,12.049935742153608,736.6613918606866,485.6728820974898,976.2543592143071,1288.9692620562812,113488.58764700734,770.6746268546591,67854.81819604532,836.5,76.54545454545455,68.67272727272727,10.518181818181818,715.3075822603719,495.4130276018688,1080.0,1401.74,127376.1138,827.9378006425153,75234.70794438537
