,USDRUB,Кукуруза,Молоко сырое,Мясо птицы бройлеров в живом весе ,Мясо крупного рогатого скота в живом весе ,Подсолнечник,Пшеница 1-го класса,Пшеница 3-го класса,Пшеница 5-го класса,Сахар (средняя цена по России),Свинина в живом весе,Соевое масло,Соевый шрот,Соя,Яйцо товарное,Подсолнечное масло наливом (мировые цены),Бутилированное подсолнечное масло (рафинированное),Подсолнечный шрот ,Колбасы сырокопченые,Баранина в живом весе,Баранина в убойном весе ,Какао-бобы (USD),Какао-бобы,"Подсолнечное масло (наливом) не бутилированное, нерафинированное ",Кокосовое масло (USD) ,Кокосовое масло ,Пальмовое масло (USD),Пальмовое масло ,Табак (USD),Табак,Пшеница 4-го класса,"Минтай б/г, Владивосток руб./кг","Сельдь н/р, Владивосток руб./кг","Огурцы тепличные, руб./кг","Томаты тепличные, руб./кг",Колбасы вареные,"Рапс, руб./т","Мука пшеничная, руб./т",Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай","Пшеница 12,5% FOB Ново, руб/т","Минтай б/г, Китай C&F руб/т","Рапсовое масло EU, руб/т"
2016-11-01,64.4536,7.766319999999999,23.47985,79.85327000000001,94.90725,19.47808,8.35308,8.517370000000001,7.092779999999999,33.46605,94.07682,772.498848,345.6957511422698,350.47026077674485,45.9331,761.25,51.60823746638984,12.454545454545451,427.04555,83.52155,147.07424,159716.0208,159716.0208,43.30681818181818,100122.866776,100122.866776,43175.18410895994,43175.18410895994,317280.9027,317280.9027,8.43708,67.27272727272727,54.54545454545454,75.19242999999999,72.64388000000001,236.97915,21.49764,15.30764,212.0,319.375,85.0,170.0,182.75,245.625,1460.0,253.125,696.25,998.75,11714.441799999999,83789.68,57807.50389467007
2016-12-01,61.9523,7.68264,23.89406,82.17088000000001,90.379,18.91751,8.93773,8.90308,7.503319999999999,32.11647,95.32419,800.2770599999999,345.8390515716199,373.3564371298564,48.2257,769.0,51.48094346686634,12.454545454545451,430.186,90.49245,157.37789999999998,140198.0549,140198.0549,43.2,107000.29542200001,107000.295422,44106.72527017785,44106.72527017785,307581.81157833355,307581.81157833355,8.61153,68.18181818181817,50.90909090909091,111.04792,82.56303999999999,214.39178,20.36392,15.33966,215.66666666666663,310.0,85.0,214.2,186.5,245.0,1805.0,307.3,834.0,1123.0,11306.294750000001,83635.605,57309.31892666413
2017-01-01,59.8827,7.57698,25.43596,75.42269,94.36275,19.00846,7.925557443636363,10.143936363636364,7.436063636363635,28.64451074,98.29215,771.837462,364.71061580603737,374.73911496976586,46.0964,761.67,49.56371884731582,8.57090909090909,447.21663,80.87679,141.53438249999996,130604.1687,130604.1687,41.60606363636363,108905.07352800001,108905.073528,43520.41574649007,43520.41574649007,297171.8909300002,297171.8909300002,8.306972727272727,57.27272727272727,45.45454545454545,123.13738,119.00087,189.64274,23.7278,15.19034,241.75,319.375,85.0,268.3333333333333,199.625,245.0,2015.0,331.5,937.5,1145.0,11058.538208999998,62876.835,55345.93018950167
2017-02-01,58.3822,7.80555,25.53367,72.73382000000001,98.9381,18.54279,7.860563647272726,9.758181818181818,7.337572727272726,28.51358758181818,94.72748,742.95694,371.3795973257936,391.87200893422994,41.6795,746.25,47.65047641180572,8.57090909090909,411.9886,87.06532000000001,152.36431,117640.133,117640.133,40.0,98563.74914999999,98563.74915,41286.946786781366,41286.946786781366,287827.6516283331,287827.6516283331,8.204845454545453,59.090909090909086,54.54545454545454,113.65629,145.65228,190.872,21.0769,15.14427,249.375,358.0,85.0,301.875,207.875,246.0,2178.0,392.375,1015.0,1322.5,11048.83135,58382.2,51282.405914704046
2017-03-01,57.8454,7.54571,25.48614,71.61536,98.73904,18.37985,7.84590909090909,9.563999999999998,7.162727272727272,29.300032497272724,94.14743,723.335822,356.8842077415301,380.2191704094016,41.047700000000006,713.0,44.87808505693702,8.57090909090909,422.85883,93.19404,163.08956999999998,118640.9154,118640.9154,37.67272727272727,89220.16650600001,89220.16650600001,38391.86110702843,38391.86110702843,285535.9814350002,285535.9814350002,8.181818181818182,52.72727272727272,51.81818181818181,106.61773,147.19754999999998,187.43417,24.35403,14.92578,232.5,375.0,85.0,318.0,203.5,247.2,2240.0,370.6,820.0,1207.5,11019.5487,60159.216,49109.85072257885
2017-04-01,56.4914,7.54216,25.19661,68.76919000000001,96.90837,17.27121,7.706045727272726,9.262954545454544,6.927045454545454,29.671021756363636,98.60968,695.337148,342.6313265761669,393.1492227135458,40.2449,695.0,42.04613060655357,8.57090909090909,430.61917,92.66251,162.1593925,109649.80739999999,109649.8074,35.29545454545455,89805.508408,89805.508408,35229.775315845036,35229.77531584504,270402.2060016665,270402.2060016665,7.962045454545454,49.090909090909086,48.18181818181818,93.3209,136.82398999999998,185.78262,23.39317,14.54531,199.0,355.0,85.0,309.375,177.375,248.25,1830.0,304.625,813.75,1187.5,10549.76895,53666.83,47498.980692669335
2017-05-01,57.0921,7.38252,24.54002,68.19967,97.8549,16.29784,7.72181109090909,8.989545454545453,7.257727272727272,29.98654897454545,101.51945,714.076418,341.03297563341545,387.83159141107086,32.6918,705.5,43.52167092726005,8.57090909090909,433.76004,93.18285,163.06998750000002,111957.6081,111957.6081,36.53409090909091,98157.876609,98157.876609,37408.441229386815,37408.441229386815,265018.19782750023,265018.19782750023,7.986818181818181,51.81818181818181,46.36363636363636,69.27678,106.6561,181.70628,20.381310000000003,14.29189,180.125,343.75,83.75,297.5,164.25,249.0,1550.0,274.375,748.75,1132.5,10533.49245,54237.495,48193.75997745074
2017-06-01,58.0773,7.133850000000001,23.70623,66.81539,100.13122,16.925060000000002,7.7247385309090895,9.06090909090909,7.483863636363636,36.60197330363636,98.9139,704.817014,330.38465142170566,388.1392557849625,30.9063,711.4,45.18673018824076,8.57090909090909,427.09783,81.13347,141.9835725,112147.2663,112147.2663,37.93181818181818,108590.612448,108590.612448,36066.1275131611,36066.1275131611,265518.2841174998,265518.2841174998,7.99141818181818,56.36363636363636,47.27272727272727,54.57878,76.49311,181.95929,19.93467,14.14802,187.5,342.5,82.5,244.5,161.2,250.0,1560.0,264.2,747.0,956.25,10604.91498,56915.754,47698.87757777432
2017-07-01,59.6802,6.67729,23.34937,66.09274,99.41489,17.67811,7.668006363636363,9.112045454545454,7.490454545454545,37.426186674545455,97.05857,738.768162,357.23694725993045,308.9051310149765,29.0526,725.25,46.86532651638392,8.57090909090909,422.10463,92.40599,161.7104825,114168.2226,114168.2226,39.340909090909086,98117.23281,98117.23281,36841.0037299515,36841.0037299515,272399.3315300002,272399.3315300002,7.902272727272727,57.27272727272727,45.45454545454545,49.36286,61.84417,188.32086,20.67295,14.18436,187.5,338.75,82.5,201.25,162.75,249.875,1638.0,258.75,726.25,962.5,11652.55905,61172.205,50385.71012645297
2017-08-01,59.4427,6.85776,23.39862,65.63865,98.36008,17.717290000000002,7.21269109090909,8.493863636363637,5.947499999999999,26.4215245,97.63819,746.7047939999999,329.59098750530484,386.515080909851,27.3193,740.75,48.30025563560307,8.57090909090909,424.12957,87.05237,152.3416475,116686.02010000001,116686.0201,40.54545454545455,109671.7815,109671.7815,36949.04200348641,36949.04200348641,267720.0136833332,267720.0136833332,7.186818181818181,59.99999999999999,45.45454545454545,46.50806,46.68722,181.31043,20.32937,14.23585,200.125,323.75,80.5,187.5,173.3,250.125,1715.0,258.5,766.25,1208.75,11130.645575,62712.048500000004,51944.133173920905
2017-09-01,57.6781,7.01636,23.59131,65.8712,98.59861,17.466939999999997,6.5228913454545445,8.175090909090908,5.118909090909091,23.135296243636365,99.68238,755.6555511999999,336.4363387842613,411.0657251192394,30.1916,747.0,48.37245693702067,8.57090909090909,428.49303,80.50266,140.879655,114779.419,114779.419,40.60606363636363,92339.754195,92339.754195,38164.4934532925,38164.4934532925,256416.64526499997,256416.645265,6.10290909090909,62.72727272727272,45.45454545454545,40.55421,42.93961,188.30508,20.43122,13.73289,236.5,331.375,77.5,207.0,216.5,255.0,1740.0,265.7,791.0,1322.5,10739.66222,61138.786,51209.50302957594
2017-10-01,57.7526,6.53098,24.19435,65.10789,98.96656,15.79767,6.708054818181818,8.111590909090909,5.33590909090909,21.699483512727276,95.39799,745.2818120000001,351.5800876537662,380.6599183413387,34.4534,744.25,47.108993725307926,8.57090909090909,429.10034,94.26036,164.95563,120471.92360000001,120471.9236,39.54545454545455,85749.327902,85749.327902,38491.39975281762,38491.39975281762,262416.26388000004,262416.26388000004,6.393863636363636,66.36363636363636,47.27272727272727,69.74849,71.11391,189.86049,19.13963,13.10369,262.75,341.25,77.5,228.5,238.375,257.5,2003.0,252.625,790.0,1278.75,11139.321488,64971.675,51476.54027693769
2017-11-01,58.9726,6.097390000000001,24.77277,65.44312000000001,98.0727,15.44929,6.809444909090908,8.231136363636363,5.635681818181818,22.178,92.48779,760.8248601904761,352.0608097734042,338.3586614800772,35.5955,737.5,47.59632814315593,8.57090909090909,410.87931,93.37017,163.3977975,125139.8572,125139.8572,39.954545454545446,91662.291632,91662.291632,38749.418049979555,38749.41804997956,272402.3024133331,272402.3024133331,6.553181818181818,68.18181818181817,40.0,81.82212,74.86292999999999,192.68547,17.91641,12.81913,261.625,366.25,77.5,280.625,223.1,258.75,2065.0,280.625,845.0,1283.75,11286.176188,74600.33899999999,56578.71989777683
2017-12-01,58.5657,6.28864,24.98449,64.55916,92.17027,15.23948,6.727349309090909,8.326,5.919999999999999,22.60228656,89.9704,730.5669756000001,355.759850526629,352.783967407544,37.9662,732.0,47.70462468045538,8.57090909090909,411.87113,89.17165,156.05038749999997,111626.2242,111626.2242,40.04545454545455,84958.91836200001,84958.91836200001,34725.167576345935,34725.167576345935,272108.9314350002,272108.9314350002,6.424181818181818,70.9090909090909,36.36363636363636,126.52413,95.44677,191.10623,18.81605,12.56848,217.83333333333331,377.1666666666667,77.5,311.0,200.83333333333331,260.0,2035.0,319.1,884.0,1345.0,11174.335560000001,72621.468,51960.59244567643
2018-01-01,56.6235,6.34186,24.84408,65.3306,99.26879,16.58104,6.793147283636363,8.313027272727272,6.113336363636363,23.656213856363635,89.35709,726.6637483809523,536.2373637029918,346.892897825108,38.9652,731.75,47.21818181818181,7.929999999999999,418.85036,84.72773,148.2735275,109906.2135,109906.2135,38.75757272727272,78925.23171,78925.23171,35881.70200536852,35881.70200536852,263765.9470125002,263765.9470125002,6.527572727272727,64.54545454545455,39.090909090909086,110.03372,126.72062,195.01159,19.78842,12.50986,226.625,387.25,77.5,317.0,192.5,258.125,2020.0,357.25,925.0,1378.75,10921.54068,64550.79,48101.41555911587
2018-02-01,56.8489,6.6585,24.36706,65.70122,99.80614,16.640189999999997,6.841554181818181,8.280299999999999,6.651209090909091,24.44901371636363,86.53686,709.3770964210527,509.3246387273184,339.6494918986999,38.0181,739.5,46.97272727272727,9.41090909090909,418.09286,86.0745,150.630375,119439.5389,119439.5389,38.81818181818181,70734.243825,70734.243825,36548.68483233331,36548.68483233331,263605.0331141669,263605.0331141669,6.603636363636363,59.99999999999999,39.090909090909086,130.28196,116.97509,197.09277,19.668560000000003,12.40852,234.5,406.5,80.5,293.75,191.875,260.0,2058.0,333.125,906.25,1285.0,11327.143325000001,64807.746,47074.37291196178
2018-03-01,57.1448,6.778479999999999,23.73688,64.62384,96.49306,17.3065,7.076675054545453,8.357818181818182,7.079818181818181,25.606831319999998,85.14386999999999,702.17147,494.7559055719378,365.897859472778,42.0814,738.2,46.29090909090909,11.74181818181818,418.03813,91.67853,160.43742749999998,143204.8688,143204.8688,38.43181818181818,63923.887624,63923.887624,35673.033291602864,35673.033291602864,270607.2955733335,270607.2955733335,6.973090909090908,64.54545454545455,38.18181818181818,102.27026,132.65647,196.94334,19.78368,12.165299999999998,232.875,400.75,81.5,254.0,185.7,272.5,2145.0,315.3,850.0,1328.0,11874.68944,71431.0,45818.87414249752
